Unit #AA001003J;1.127000
Unit #AB001036S;1.141000
Unit #BE000912S;1.127000
Unit #BL001043G;1.161000
Unit #BW000132E;1.114000
Unit #CD001065G;1.110000
Unit #CG000576J;1.149000
Unit #DA000814B;1.151000
Unit #DN000508V;1.141000
Unit #DP000332Z;1.119000
Unit #DP001451I;1.168000
Unit #ES000188J;1.132000
Unit #EV000530P;1.169000
Unit #FH000374D;1.129000
Unit #FK000409U;1.134000
Unit #FL000845S;1.146000
Unit #FM000929M;1.108000
Unit #FX000057Y;1.150000
Unit #GE000930R;1.134000
Unit #HN000465H;1.149000
Unit #HT001241U;1.145000
Unit #IA001476Z;1.109000
Unit #LV000437A;1.138000
Unit #LV001122V;1.114000
Unit #MF000885J;1.163000
Unit #MV000182D;1.143000
Unit #NL000474B;1.095000
Unit #NP000118D;1.108000
Unit #NR001623M;1.111000
Unit #NX000445R;1.136000
Unit #OK001105S;1.130000
Unit #PI001593S;1.126000
Unit #PL001456G;1.120000
Unit #PN001190C;1.093000
Unit #QA000620S;1.164000
Unit #QF001503F;1.118000
Unit #QT001339W;1.121000
Unit #TD000727C;1.090000
Unit #TE000412M;1.110000
Unit #TM001229F;1.141000
Unit #TX001643O;1.103000
Unit #VD000461I;1.139000
Unit #WT000711Z;1.146000
Unit #XC000879C;1.101000
Unit #XF001543C;1.094000
Unit #XJ000387Y;1.138000
Unit #XV001151O;1.129000
Unit #ZE000363O;1.160000
Unit #ZR000106J;1.107000
Unit #ZU000451S;1.130000
